table_name	conname	contype	definition
binary_data	PK_fc3691585b39408bb0551122af6	p	PRIMARY KEY ("fileId")
channel_conversation_logs	channel_conversation_logs_conversation_id_external_event_id_key	u	UNIQUE (conversation_id, external_event_id)
channel_conversation_logs	channel_conversation_logs_pkey	p	PRIMARY KEY (id)
chat_hub_agents	FK_441ba2caba11e077ce3fbfa2cd8	f	FOREIGN KEY ("ownerId") REFERENCES "user"(id) ON DELETE CASCADE
chat_hub_agents	FK_9c61ad497dcbae499c96a6a78ba	f	FOREIGN KEY ("credentialId") REFERENCES credentials_entity(id) ON DELETE SET NULL
chat_hub_agents	PK_f39a3b36bbdf0e2979ddb21cf78	p	PRIMARY KEY (id)
chat_hub_agent_tools	FK_2b53d796b3dbae91b1a9553c048	f	FOREIGN KEY ("agentId") REFERENCES chat_hub_agents(id) ON DELETE CASCADE
chat_hub_agent_tools	FK_43e70f04c53344f82483d0570f6	f	FOREIGN KEY ("toolId") REFERENCES chat_hub_tools(id) ON DELETE CASCADE
chat_hub_agent_tools	PK_cc8806fdea48297a7d497035d72	p	PRIMARY KEY ("agentId", "toolId")
chat_hub_messages	FK_1f4998c8a7dec9e00a9ab15550e	f	FOREIGN KEY ("revisionOfMessageId") REFERENCES chat_hub_messages(id) ON DELETE CASCADE
chat_hub_messages	FK_25c9736e7f769f3a005eef4b372	f	FOREIGN KEY ("retryOfMessageId") REFERENCES chat_hub_messages(id) ON DELETE CASCADE
chat_hub_messages	FK_6afb260449dd7a9b85355d4e0c9	f	FOREIGN KEY ("executionId") REFERENCES execution_entity(id) ON DELETE SET NULL
chat_hub_messages	FK_acf8926098f063cdbbad8497fd1	f	FOREIGN KEY ("workflowId") REFERENCES workflow_entity(id) ON DELETE SET NULL
chat_hub_messages	FK_chat_hub_messages_agentId	f	FOREIGN KEY ("agentId") REFERENCES chat_hub_agents(id) ON DELETE SET NULL
chat_hub_messages	FK_e22538eb50a71a17954cd7e076c	f	FOREIGN KEY ("sessionId") REFERENCES chat_hub_sessions(id) ON DELETE CASCADE
chat_hub_messages	FK_e5d1fa722c5a8d38ac204746662	f	FOREIGN KEY ("previousMessageId") REFERENCES chat_hub_messages(id) ON DELETE CASCADE
chat_hub_messages	PK_7704a5add6baed43eef835f0bfb	p	PRIMARY KEY (id)
chat_hub_sessions	CHK_chat_hub_sessions_type	c	CHECK (((type)::text = ANY ((ARRAY['production'::character varying, 'manual'::character varying])::text[])))
chat_hub_sessions	FK_7bc13b4c7e6afbfaf9be326c189	f	FOREIGN KEY ("credentialId") REFERENCES credentials_entity(id) ON DELETE SET NULL
chat_hub_sessions	FK_9f9293d9f552496c40e0d1a8f80	f	FOREIGN KEY ("workflowId") REFERENCES workflow_entity(id) ON DELETE SET NULL
chat_hub_sessions	FK_chat_hub_sessions_agentId	f	FOREIGN KEY ("agentId") REFERENCES chat_hub_agents(id) ON DELETE SET NULL
chat_hub_sessions	FK_e9ecf8ede7d989fcd18790fe36a	f	FOREIGN KEY ("ownerId") REFERENCES "user"(id) ON DELETE CASCADE
chat_hub_sessions	PK_1eafef1273c70e4464fec703412	p	PRIMARY KEY (id)
chat_hub_session_tools	FK_6596a328affd8d4967ffb303eee	f	FOREIGN KEY ("toolId") REFERENCES chat_hub_tools(id) ON DELETE CASCADE
chat_hub_session_tools	FK_e649bf1295f4ed8d4299ed290f9	f	FOREIGN KEY ("sessionId") REFERENCES chat_hub_sessions(id) ON DELETE CASCADE
chat_hub_session_tools	PK_87aea76ff4c274c4a5ac838ebe3	p	PRIMARY KEY ("sessionId", "toolId")
chat_hub_tools	FK_b8030b47af9213f1fd15450fb7f	f	FOREIGN KEY ("ownerId") REFERENCES "user"(id) ON DELETE CASCADE
chat_hub_tools	PK_696d26426c704fba79b2c195ef5	p	PRIMARY KEY (id)
client_notifications	client_notifications_client_id_fkey	f	FOREIGN KEY (client_id) REFERENCES clients(id) ON DELETE SET NULL
client_notifications	client_notifications_pkey	p	PRIMARY KEY (id)
client_notifications	client_notifications_reservation_id_fkey	f	FOREIGN KEY (reservation_id) REFERENCES reservations(id) ON DELETE CASCADE
client_notifications	client_notifications_restaurant_id_fkey	f	FOREIGN KEY (restaurant_id) REFERENCES restaurants(id) ON DELETE CASCADE
clients	clients_pkey	p	PRIMARY KEY (id)
clients	clients_restaurant_id_fkey	f	FOREIGN KEY (restaurant_id) REFERENCES restaurants(id) ON DELETE CASCADE
clients	clients_unique_channel	u	UNIQUE (restaurant_id, channel_type, channel_value)
conversation_states	conversation_states_pkey	p	PRIMARY KEY (id)
conversation_states	conversation_states_restaurant_id_fkey	f	FOREIGN KEY (restaurant_id) REFERENCES restaurants(id) ON DELETE CASCADE
conversation_states	conversation_states_unique_conversation	u	UNIQUE (restaurant_id, conversation_id, channel_type)
credential_dependency	FK_5ec8e8c8d3539f3696cf73b43bf	f	FOREIGN KEY ("credentialId") REFERENCES credentials_entity(id) ON DELETE CASCADE
credential_dependency	PK_80212729ed0ffa0709417ab28f4	p	PRIMARY KEY (id)
credentials_entity	credentials_entity_pkey	p	PRIMARY KEY (id)
credentials_entity	credentials_entity_resolverId_foreign	f	FOREIGN KEY ("resolverId") REFERENCES dynamic_credential_resolver(id) ON DELETE SET NULL
data_table	FK_c2a794257dee48af7c9abf681de	f	FOREIGN KEY ("projectId") REFERENCES project(id) ON DELETE CASCADE
data_table	PK_e226d0001b9e6097cbfe70617cb	p	PRIMARY KEY (id)
data_table	UQ_b23096ef747281ac944d28e8b0d	u	UNIQUE ("projectId", name)
data_table_column	FK_930b6e8faaf88294cef23484160	f	FOREIGN KEY ("dataTableId") REFERENCES data_table(id) ON DELETE CASCADE
data_table_column	PK_673cb121ee4a8a5e27850c72c51	p	PRIMARY KEY (id)
data_table_column	UQ_8082ec4890f892f0bc77473a123	u	UNIQUE ("dataTableId", name)
deployment_key	PK_94bb7aeb5def5a0284a5fe9f9a0	p	PRIMARY KEY (id)
dynamic_credential_entry	FK_a6d1dd080958304a47a02952aab	f	FOREIGN KEY (credential_id) REFERENCES credentials_entity(id) ON DELETE CASCADE
dynamic_credential_entry	FK_d61a12235d268a49af6a3c09c13	f	FOREIGN KEY (resolver_id) REFERENCES dynamic_credential_resolver(id) ON DELETE CASCADE
dynamic_credential_entry	PK_5135ffcabecad4727ff6b9b803d	p	PRIMARY KEY (credential_id, subject_id, resolver_id)
dynamic_credential_resolver	PK_b76cfb088dcdaf5275e9980bb64	p	PRIMARY KEY (id)
dynamic_credential_user_entry	FK_6edec973a6450990977bb854c38	f	FOREIGN KEY ("resolverId") REFERENCES dynamic_credential_resolver(id) ON DELETE CASCADE
dynamic_credential_user_entry	FK_945ba70b342a066d1306b12ccd2	f	FOREIGN KEY ("credentialId") REFERENCES credentials_entity(id) ON DELETE CASCADE
dynamic_credential_user_entry	FK_a36dc616fabc3f736bb82410a22	f	FOREIGN KEY ("userId") REFERENCES "user"(id) ON DELETE CASCADE
dynamic_credential_user_entry	PK_74f548e633abc66dc27c8f0ca77	p	PRIMARY KEY ("credentialId", "userId", "resolverId")
evaluation_collection	FK_a48ce930c3bc7604894b8f0eaad	f	FOREIGN KEY ("workflowId") REFERENCES workflow_entity(id) ON DELETE CASCADE
evaluation_collection	FK_d634a0c93fd7de68a87eab951b2	f	FOREIGN KEY ("evaluationConfigId") REFERENCES evaluation_config(id) ON DELETE CASCADE
evaluation_collection	FK_f4561f38b5a22a4f090d5cd3eae	f	FOREIGN KEY ("createdById") REFERENCES "user"(id) ON DELETE SET NULL
evaluation_collection	PK_e720b6efc1e45b878ebb0b2ca30	p	PRIMARY KEY (id)
evaluation_config	FK_fd7542bb123074760285dc1bbf3	f	FOREIGN KEY ("workflowId") REFERENCES workflow_entity(id) ON DELETE CASCADE
evaluation_config	PK_59c14dccf8989df94070c2dcfda	p	PRIMARY KEY (id)
evaluation_config	UQ_3c3c99a712e971835c52292e44c	u	UNIQUE ("workflowId", name)
event_destinations	event_destinations_pkey	p	PRIMARY KEY (id)
execution_annotations	FK_97f863fa83c4786f19565084960	f	FOREIGN KEY ("executionId") REFERENCES execution_entity(id) ON DELETE CASCADE
execution_annotations	PK_7afcf93ffa20c4252869a7c6a23	p	PRIMARY KEY (id)
execution_annotation_tags	FK_a3697779b366e131b2bbdae2976	f	FOREIGN KEY ("tagId") REFERENCES annotation_tag_entity(id) ON DELETE CASCADE
execution_annotation_tags	FK_c1519757391996eb06064f0e7c8	f	FOREIGN KEY ("annotationId") REFERENCES execution_annotations(id) ON DELETE CASCADE
execution_annotation_tags	PK_979ec03d31294cca484be65d11f	p	PRIMARY KEY ("annotationId", "tagId")
execution_data	execution_data_fk	f	FOREIGN KEY ("executionId") REFERENCES execution_entity(id) ON DELETE CASCADE
execution_data	execution_data_pkey	p	PRIMARY KEY ("executionId")
execution_entity	execution_entity_storedAt_check	c	CHECK ((("storedAt")::text = ANY ((ARRAY['db'::character varying, 'fs'::character varying, 's3'::character varying])::text[])))
execution_entity	fk_execution_entity_workflow_id	f	FOREIGN KEY ("workflowId") REFERENCES workflow_entity(id) ON DELETE CASCADE
execution_entity	pk_e3e63bbf986767844bbe1166d4e	p	PRIMARY KEY (id)
execution_metadata	FK_31d0b4c93fb85ced26f6005cda3	f	FOREIGN KEY ("executionId") REFERENCES execution_entity(id) ON DELETE CASCADE
execution_metadata	PK_17a0b6284f8d626aae88e1c16e4	p	PRIMARY KEY (id)
folder	FK_804ea52f6729e3940498bd54d78	f	FOREIGN KEY ("parentFolderId") REFERENCES folder(id) ON DELETE CASCADE
folder	FK_a8260b0b36939c6247f385b8221	f	FOREIGN KEY ("projectId") REFERENCES project(id) ON DELETE CASCADE
folder	PK_6278a41a706740c94c02e288df8	p	PRIMARY KEY (id)
folder_tag	FK_94a60854e06f2897b2e0d39edba	f	FOREIGN KEY ("folderId") REFERENCES folder(id) ON DELETE CASCADE
folder_tag	FK_dc88164176283de80af47621746	f	FOREIGN KEY ("tagId") REFERENCES tag_entity(id) ON DELETE CASCADE
folder_tag	PK_27e4e00852f6b06a925a4d83a3e	p	PRIMARY KEY ("folderId", "tagId")
insights_by_period	FK_6414cfed98daabbfdd61a1cfbc0	f	FOREIGN KEY ("metaId") REFERENCES insights_metadata("metaId") ON DELETE CASCADE
insights_by_period	PK_b606942249b90cc39b0265f0575	p	PRIMARY KEY (id)
insights_metadata	FK_1d8ab99d5861c9388d2dc1cf733	f	FOREIGN KEY ("workflowId") REFERENCES workflow_entity(id) ON DELETE SET NULL
insights_metadata	FK_2375a1eda085adb16b24615b69c	f	FOREIGN KEY ("projectId") REFERENCES project(id) ON DELETE SET NULL
insights_metadata	PK_f448a94c35218b6208ce20cf5a1	p	PRIMARY KEY ("metaId")
insights_raw	FK_6e2e33741adef2a7c5d66befa4e	f	FOREIGN KEY ("metaId") REFERENCES insights_metadata("metaId") ON DELETE CASCADE
insights_raw	PK_ec15125755151e3a7e00e00014f	p	PRIMARY KEY (id)
installed_nodes	FK_73f857fc5dce682cef8a99c11dbddbc969618951	f	FOREIGN KEY (package) REFERENCES installed_packages("packageName") ON UPDATE CASCADE ON DELETE CASCADE
installed_nodes	PK_8ebd28194e4f792f96b5933423fc439df97d9689	p	PRIMARY KEY (name)
installed_packages	PK_08cc9197c39b028c1e9beca225940576fd1a5804	p	PRIMARY KEY ("packageName")
instance_ai_checkpoints	FK_2b23f3f24a70bebb990203b011e	f	FOREIGN KEY ("threadId") REFERENCES instance_ai_threads(id) ON DELETE CASCADE
instance_ai_checkpoints	PK_5315a45f0846d1f9d128c18a2ed	p	PRIMARY KEY (key)
instance_ai_checkpoints	instance_ai_checkpoints_state_tombstone_check	c	CHECK (((("expiredAt" IS NOT NULL) AND (state IS NULL)) OR ("expiredAt" IS NULL)))
instance_ai_iteration_logs	FK_8bfcc6c51fd3d69b1eae8aebd49	f	FOREIGN KEY ("threadId") REFERENCES instance_ai_threads(id) ON DELETE CASCADE
instance_ai_iteration_logs	PK_21c2b214b44bc6c34a6d3551c90	p	PRIMARY KEY (id)
instance_ai_messages	FK_1eeb64cb9d66a927988de759e6e	f	FOREIGN KEY ("threadId") REFERENCES instance_ai_threads(id) ON DELETE CASCADE
instance_ai_messages	PK_156c6f287225e9befe0181bb02b	p	PRIMARY KEY (id)
instance_ai_observational_memory	FK_34018c303885cd37093458e6409	f	FOREIGN KEY ("threadId") REFERENCES instance_ai_threads(id) ON DELETE SET NULL
