table_name	conname	contype	definition
project_secrets_provider_access	CHK_project_secrets_provider_access_role	c	CHECK (((role)::text = ANY ((ARRAY['secretsProviderConnection:owner'::character varying, 'secretsProviderConnection:user'::character varying])::text[])))
project_secrets_provider_access	FK_18e5c27d2524b1638b292904e48	f	FOREIGN KEY ("secretsProviderConnectionId") REFERENCES secrets_provider_connection(id) ON DELETE CASCADE
project_secrets_provider_access	FK_bd264b81209355b543878deedb1	f	FOREIGN KEY ("projectId") REFERENCES project(id) ON DELETE CASCADE
project_secrets_provider_access	PK_0402b7fcec5415246656f102f83	p	PRIMARY KEY ("secretsProviderConnectionId", "projectId")
reservations	reservations_client_id_fkey	f	FOREIGN KEY (client_id) REFERENCES clients(id) ON DELETE SET NULL
reservations	reservations_pkey	p	PRIMARY KEY (id)
reservations	reservations_restaurant_id_fkey	f	FOREIGN KEY (restaurant_id) REFERENCES restaurants(id) ON DELETE CASCADE
restaurant_channels	restaurant_channels_pkey	p	PRIMARY KEY (id)
restaurant_channels	restaurant_channels_restaurant_id_fkey	f	FOREIGN KEY (restaurant_id) REFERENCES restaurants(id) ON DELETE CASCADE
restaurant_channels	restaurant_channels_unique_channel	u	UNIQUE (restaurant_id, channel_type, channel_value)
restaurant_closures	restaurant_closures_pkey	p	PRIMARY KEY (id)
restaurant_closures	restaurant_closures_restaurant_id_fkey	f	FOREIGN KEY (restaurant_id) REFERENCES restaurants(id) ON DELETE CASCADE
restaurants	restaurants_pkey	p	PRIMARY KEY (id)
restaurants	restaurants_slug_key	u	UNIQUE (slug)
restaurant_settings	restaurant_settings_pkey	p	PRIMARY KEY (id)
restaurant_settings	restaurant_settings_restaurant_id_fkey	f	FOREIGN KEY (restaurant_id) REFERENCES restaurants(id) ON DELETE CASCADE
restaurant_settings	restaurant_settings_unique_restaurant	u	UNIQUE (restaurant_id)
role	PK_35c9b140caaf6da09cfabb0d675	p	PRIMARY KEY (slug)
role_mapping_rule	FK_bb66e404c35996b0d6946177501	f	FOREIGN KEY (role) REFERENCES role(slug) ON UPDATE CASCADE ON DELETE CASCADE
role_mapping_rule	PK_d772c8ec1a89b52d31c882bc560	p	PRIMARY KEY (id)
role_mapping_rule	UQ_b33ac896ad3099fc8de36fdc1c4	u	UNIQUE (type, "order")
role_mapping_rule_project	FK_35a78869286c65d9330d02b88f5	f	FOREIGN KEY ("projectId") REFERENCES project(id) ON DELETE CASCADE
role_mapping_rule_project	FK_dd7ce4dfa09e95b36a626bd9de3	f	FOREIGN KEY ("roleMappingRuleId") REFERENCES role_mapping_rule(id) ON DELETE CASCADE
role_mapping_rule_project	PK_198c5b5aea509d139274efcaf9a	p	PRIMARY KEY ("roleMappingRuleId", "projectId")
role_scope	FK_role	f	FOREIGN KEY ("roleSlug") REFERENCES role(slug) ON UPDATE CASCADE ON DELETE CASCADE
role_scope	FK_scope	f	FOREIGN KEY ("scopeSlug") REFERENCES scope(slug) ON UPDATE CASCADE ON DELETE CASCADE
role_scope	PK_role_scope	p	PRIMARY KEY ("roleSlug", "scopeSlug")
scope	PK_bfc45df0481abd7f355d6187da1	p	PRIMARY KEY (slug)
secrets_provider_connection	PK_4350ae85e76f9ba7df1370acb5d	p	PRIMARY KEY (id)
settings	PK_dc0fe14e6d9943f268e7b119f69ab8bd	p	PRIMARY KEY (key)
shared_credentials	FK_416f66fc846c7c442970c094ccf	f	FOREIGN KEY ("credentialsId") REFERENCES credentials_entity(id) ON DELETE CASCADE
shared_credentials	FK_812c2852270da1247756e77f5a4	f	FOREIGN KEY ("projectId") REFERENCES project(id) ON DELETE CASCADE
shared_credentials	PK_8ef3a59796a228913f251779cff	p	PRIMARY KEY ("credentialsId", "projectId")
shared_workflow	FK_a45ea5f27bcfdc21af9b4188560	f	FOREIGN KEY ("projectId") REFERENCES project(id) ON DELETE CASCADE
shared_workflow	FK_daa206a04983d47d0a9c34649ce	f	FOREIGN KEY ("workflowId") REFERENCES workflow_entity(id) ON DELETE CASCADE
shared_workflow	PK_5ba87620386b847201c9531c58f	p	PRIMARY KEY ("workflowId", "projectId")
tag_entity	tag_entity_pkey	p	PRIMARY KEY (id)
test_case_execution	FK_8e4b4774db42f1e6dda3452b2af	f	FOREIGN KEY ("testRunId") REFERENCES test_run(id) ON DELETE CASCADE
test_case_execution	FK_e48965fac35d0f5b9e7f51d8c44	f	FOREIGN KEY ("executionId") REFERENCES execution_entity(id) ON DELETE SET NULL
test_case_execution	PK_90c121f77a78a6580e94b794bce	p	PRIMARY KEY (id)
test_run	FK_d6870d3b6e4c185d33926f423c8	f	FOREIGN KEY ("workflowId") REFERENCES workflow_entity(id) ON DELETE CASCADE
test_run	FK_test_run_collection_id	f	FOREIGN KEY ("collectionId") REFERENCES evaluation_collection(id) ON DELETE SET NULL
