schemaname	tablename	indexname	indexdef
public	instance_ai_pending_confirmations	IDX_df5fd25c8bbfd2b042602600d8	CREATE INDEX "IDX_df5fd25c8bbfd2b042602600d8" ON public.instance_ai_pending_confirmations USING btree ("userId")
public	instance_ai_pending_confirmations	PK_25c38179c8d45095b168adfff80	CREATE UNIQUE INDEX "PK_25c38179c8d45095b168adfff80" ON public.instance_ai_pending_confirmations USING btree ("requestId")
public	instance_ai_resources	PK_45b5b0b6f715dae4292b86603d8	CREATE UNIQUE INDEX "PK_45b5b0b6f715dae4292b86603d8" ON public.instance_ai_resources USING btree (id)
public	instance_ai_run_snapshots	IDX_d3a2bc880e7a8626802e5474ad	CREATE INDEX "IDX_d3a2bc880e7a8626802e5474ad" ON public.instance_ai_run_snapshots USING btree ("threadId", "createdAt")
public	instance_ai_run_snapshots	IDX_d926c16c2ad9728cb9a81790c0	CREATE INDEX "IDX_d926c16c2ad9728cb9a81790c0" ON public.instance_ai_run_snapshots USING btree ("threadId", "messageGroupId")
public	instance_ai_run_snapshots	PK_0a5fc9690a84950ebf1416fb146	CREATE UNIQUE INDEX "PK_0a5fc9690a84950ebf1416fb146" ON public.instance_ai_run_snapshots USING btree ("threadId", "runId")
public	instance_ai_threads	IDX_f36dea4d38fe92e0e8f44d5a56	CREATE INDEX "IDX_f36dea4d38fe92e0e8f44d5a56" ON public.instance_ai_threads USING btree ("resourceId")
public	instance_ai_threads	PK_35575100e45cdedeb89ae0643e9	CREATE UNIQUE INDEX "PK_35575100e45cdedeb89ae0643e9" ON public.instance_ai_threads USING btree (id)
public	instance_ai_workflow_snapshots	IDX_a371ee6b8e0ebb5635f8baa46d	CREATE INDEX "IDX_a371ee6b8e0ebb5635f8baa46d" ON public.instance_ai_workflow_snapshots USING btree ("workflowName", status)
public	instance_ai_workflow_snapshots	PK_93f2696eb321dfe1d7defe7073f	CREATE UNIQUE INDEX "PK_93f2696eb321dfe1d7defe7073f" ON public.instance_ai_workflow_snapshots USING btree ("runId", "workflowName")
public	instance_version_history	PK_874f58cb616935bf49d9dbd67e9	CREATE UNIQUE INDEX "PK_874f58cb616935bf49d9dbd67e9" ON public.instance_version_history USING btree (id)
public	invalid_auth_token	PK_5779069b7235b256d91f7af1a15	CREATE UNIQUE INDEX "PK_5779069b7235b256d91f7af1a15" ON public.invalid_auth_token USING btree (token)
public	mcp_registry_server	PK_12fd89a1fb8489513b0a91f5d31	CREATE UNIQUE INDEX "PK_12fd89a1fb8489513b0a91f5d31" ON public.mcp_registry_server USING btree (slug)
public	migrations	PK_8c82d7f526340ab734260ea46be	CREATE UNIQUE INDEX "PK_8c82d7f526340ab734260ea46be" ON public.migrations USING btree (id)
public	oauth_access_tokens	PK_dcd71f96a5d5f4bf79e67d322bf	CREATE UNIQUE INDEX "PK_dcd71f96a5d5f4bf79e67d322bf" ON public.oauth_access_tokens USING btree (token)
public	oauth_authorization_codes	PK_fb91ab932cfbd694061501cc20f	CREATE UNIQUE INDEX "PK_fb91ab932cfbd694061501cc20f" ON public.oauth_authorization_codes USING btree (code)
public	oauth_clients	PK_c4759172d3431bae6f04e678e0d	CREATE UNIQUE INDEX "PK_c4759172d3431bae6f04e678e0d" ON public.oauth_clients USING btree (id)
public	oauth_refresh_tokens	PK_74abaed0b30711b6532598b0392	CREATE UNIQUE INDEX "PK_74abaed0b30711b6532598b0392" ON public.oauth_refresh_tokens USING btree (token)
public	oauth_user_consents	PK_85b9ada746802c8993103470f05	CREATE UNIQUE INDEX "PK_85b9ada746802c8993103470f05" ON public.oauth_user_consents USING btree (id)
public	oauth_user_consents	UQ_083721d99ce8db4033e2958ebb4	CREATE UNIQUE INDEX "UQ_083721d99ce8db4033e2958ebb4" ON public.oauth_user_consents USING btree ("userId", "clientId")
public	outbound_messages	outbound_messages_pkey	CREATE UNIQUE INDEX outbound_messages_pkey ON public.outbound_messages USING btree (id)
public	processed_data	PK_ca04b9d8dc72de268fe07a65773	CREATE UNIQUE INDEX "PK_ca04b9d8dc72de268fe07a65773" ON public.processed_data USING btree ("workflowId", context)
public	project	PK_4d68b1358bb5b766d3e78f32f57	CREATE UNIQUE INDEX "PK_4d68b1358bb5b766d3e78f32f57" ON public.project USING btree (id)
public	project_relation	IDX_5f0643f6717905a05164090dde	CREATE INDEX "IDX_5f0643f6717905a05164090dde" ON public.project_relation USING btree ("userId")
public	project_relation	IDX_61448d56d61802b5dfde5cdb00	CREATE INDEX "IDX_61448d56d61802b5dfde5cdb00" ON public.project_relation USING btree ("projectId")
public	project_relation	PK_1caaa312a5d7184a003be0f0cb6	CREATE UNIQUE INDEX "PK_1caaa312a5d7184a003be0f0cb6" ON public.project_relation USING btree ("projectId", "userId")
public	project_relation	project_relation_role_idx	CREATE INDEX project_relation_role_idx ON public.project_relation USING btree (role)
public	project_relation	project_relation_role_project_idx	CREATE INDEX project_relation_role_project_idx ON public.project_relation USING btree ("projectId", role)
public	project_secrets_provider_access	PK_0402b7fcec5415246656f102f83	CREATE UNIQUE INDEX "PK_0402b7fcec5415246656f102f83" ON public.project_secrets_provider_access USING btree ("secretsProviderConnectionId", "projectId")
public	reservations	idx_reservations_lookup_slot	CREATE INDEX idx_reservations_lookup_slot ON public.reservations USING btree (restaurant_id, start_time, status)
public	reservations	idx_reservations_restaurant_start_time	CREATE INDEX idx_reservations_restaurant_start_time ON public.reservations USING btree (restaurant_id, start_time)
public	reservations	idx_reservations_status	CREATE INDEX idx_reservations_status ON public.reservations USING btree (status)
public	reservations	reservations_pkey	CREATE UNIQUE INDEX reservations_pkey ON public.reservations USING btree (id)
public	reservations	ux_reservations_conversation_slot	CREATE UNIQUE INDEX ux_reservations_conversation_slot ON public.reservations USING btree (restaurant_id, conversation_id, start_time) WHERE (conversation_id IS NOT NULL)
public	restaurant_channels	restaurant_channels_pkey	CREATE UNIQUE INDEX restaurant_channels_pkey ON public.restaurant_channels USING btree (id)
public	restaurant_channels	restaurant_channels_unique_channel	CREATE UNIQUE INDEX restaurant_channels_unique_channel ON public.restaurant_channels USING btree (restaurant_id, channel_type, channel_value)
public	restaurant_closures	idx_restaurant_closures_lookup	CREATE INDEX idx_restaurant_closures_lookup ON public.restaurant_closures USING btree (restaurant_id, starts_at, ends_at, is_active)
public	restaurant_closures	restaurant_closures_pkey	CREATE UNIQUE INDEX restaurant_closures_pkey ON public.restaurant_closures USING btree (id)
public	restaurant_settings	restaurant_settings_pkey	CREATE UNIQUE INDEX restaurant_settings_pkey ON public.restaurant_settings USING btree (id)
public	restaurant_settings	restaurant_settings_unique_restaurant	CREATE UNIQUE INDEX restaurant_settings_unique_restaurant ON public.restaurant_settings USING btree (restaurant_id)
public	restaurants	restaurants_pkey	CREATE UNIQUE INDEX restaurants_pkey ON public.restaurants USING btree (id)
public	restaurants	restaurants_slug_key	CREATE UNIQUE INDEX restaurants_slug_key ON public.restaurants USING btree (slug)
public	role	IDX_UniqueRoleDisplayName	CREATE UNIQUE INDEX "IDX_UniqueRoleDisplayName" ON public.role USING btree ("displayName")
public	role	PK_35c9b140caaf6da09cfabb0d675	CREATE UNIQUE INDEX "PK_35c9b140caaf6da09cfabb0d675" ON public.role USING btree (slug)
public	role_mapping_rule	IDX_bb66e404c35996b0d694617750	CREATE INDEX "IDX_bb66e404c35996b0d694617750" ON public.role_mapping_rule USING btree (role)
public	role_mapping_rule	PK_d772c8ec1a89b52d31c882bc560	CREATE UNIQUE INDEX "PK_d772c8ec1a89b52d31c882bc560" ON public.role_mapping_rule USING btree (id)
public	role_mapping_rule	UQ_b33ac896ad3099fc8de36fdc1c4	CREATE UNIQUE INDEX "UQ_b33ac896ad3099fc8de36fdc1c4" ON public.role_mapping_rule USING btree (type, "order")
public	role_mapping_rule_project	IDX_35a78869286c65d9330d02b88f	CREATE INDEX "IDX_35a78869286c65d9330d02b88f" ON public.role_mapping_rule_project USING btree ("projectId")
public	role_mapping_rule_project	PK_198c5b5aea509d139274efcaf9a	CREATE UNIQUE INDEX "PK_198c5b5aea509d139274efcaf9a" ON public.role_mapping_rule_project USING btree ("roleMappingRuleId", "projectId")
public	role_scope	IDX_role_scope_scopeSlug	CREATE INDEX "IDX_role_scope_scopeSlug" ON public.role_scope USING btree ("scopeSlug")
public	role_scope	PK_role_scope	CREATE UNIQUE INDEX "PK_role_scope" ON public.role_scope USING btree ("roleSlug", "scopeSlug")
public	scope	PK_bfc45df0481abd7f355d6187da1	CREATE UNIQUE INDEX "PK_bfc45df0481abd7f355d6187da1" ON public.scope USING btree (slug)
public	secrets_provider_connection	IDX_secrets_provider_connection_providerKey	CREATE UNIQUE INDEX "IDX_secrets_provider_connection_providerKey" ON public.secrets_provider_connection USING btree ("providerKey")
public	secrets_provider_connection	PK_4350ae85e76f9ba7df1370acb5d	CREATE UNIQUE INDEX "PK_4350ae85e76f9ba7df1370acb5d" ON public.secrets_provider_connection USING btree (id)
public	settings	PK_dc0fe14e6d9943f268e7b119f69ab8bd	CREATE UNIQUE INDEX "PK_dc0fe14e6d9943f268e7b119f69ab8bd" ON public.settings USING btree (key)
public	shared_credentials	PK_8ef3a59796a228913f251779cff	CREATE UNIQUE INDEX "PK_8ef3a59796a228913f251779cff" ON public.shared_credentials USING btree ("credentialsId", "projectId")
public	shared_workflow	IDX_shared_workflow_projectId	CREATE INDEX "IDX_shared_workflow_projectId" ON public.shared_workflow USING btree ("projectId")
public	shared_workflow	PK_5ba87620386b847201c9531c58f	CREATE UNIQUE INDEX "PK_5ba87620386b847201c9531c58f" ON public.shared_workflow USING btree ("workflowId", "projectId")
public	tag_entity	idx_812eb05f7451ca757fb98444ce	CREATE UNIQUE INDEX idx_812eb05f7451ca757fb98444ce ON public.tag_entity USING btree (name)
public	tag_entity	pk_tag_entity_id	CREATE UNIQUE INDEX pk_tag_entity_id ON public.tag_entity USING btree (id)
public	tag_entity	tag_entity_pkey	CREATE UNIQUE INDEX tag_entity_pkey ON public.tag_entity USING btree (id)
public	test_case_execution	IDX_8e4b4774db42f1e6dda3452b2a	CREATE INDEX "IDX_8e4b4774db42f1e6dda3452b2a" ON public.test_case_execution USING btree ("testRunId")
public	test_case_execution	PK_90c121f77a78a6580e94b794bce	CREATE UNIQUE INDEX "PK_90c121f77a78a6580e94b794bce" ON public.test_case_execution USING btree (id)
public	test_run	IDX_d6870d3b6e4c185d33926f423c	CREATE INDEX "IDX_d6870d3b6e4c185d33926f423c" ON public.test_run USING btree ("workflowId")
public	test_run	IDX_test_run_collectionId	CREATE INDEX "IDX_test_run_collectionId" ON public.test_run USING btree ("collectionId")
public	test_run	IDX_test_run_evaluationConfigId	CREATE INDEX "IDX_test_run_evaluationConfigId" ON public.test_run USING btree ("evaluationConfigId")
public	test_run	PK_011c050f566e9db509a0fadb9b9	CREATE UNIQUE INDEX "PK_011c050f566e9db509a0fadb9b9" ON public.test_run USING btree (id)
public	token_exchange_jti	PK_d8e8a6f737d530fdd2dd716e89c	CREATE UNIQUE INDEX "PK_d8e8a6f737d530fdd2dd716e89c" ON public.token_exchange_jti USING btree (jti)
public	trusted_key	PK_dc7d93798f3dbb6959f974c97e1	CREATE UNIQUE INDEX "PK_dc7d93798f3dbb6959f974c97e1" ON public.trusted_key USING btree ("sourceId", kid)
public	trusted_key_source	PK_99e8908ce2c2cdccce487db7fc6	CREATE UNIQUE INDEX "PK_99e8908ce2c2cdccce487db7fc6" ON public.trusted_key_source USING btree (id)
public	user	PK_ea8f538c94b6e352418254ed6474a81f	CREATE UNIQUE INDEX "PK_ea8f538c94b6e352418254ed6474a81f" ON public."user" USING btree (id)
public	user	UQ_e12875dfb3b1d92d7d7c5377e2	CREATE UNIQUE INDEX "UQ_e12875dfb3b1d92d7d7c5377e2" ON public."user" USING btree (email)
public	user	user_role_idx	CREATE INDEX user_role_idx ON public."user" USING btree ("roleSlug")
public	user_api_keys	IDX_1ef35bac35d20bdae979d917a3	CREATE UNIQUE INDEX "IDX_1ef35bac35d20bdae979d917a3" ON public.user_api_keys USING btree ("apiKey")
public	user_api_keys	IDX_63d7bbae72c767cf162d459fcc	CREATE UNIQUE INDEX "IDX_63d7bbae72c767cf162d459fcc" ON public.user_api_keys USING btree ("userId", label)
public	user_api_keys	PK_978fa5caa3468f463dac9d92e69	CREATE UNIQUE INDEX "PK_978fa5caa3468f463dac9d92e69" ON public.user_api_keys USING btree (id)
public	user_favorites	IDX_1d11050a381548c42c32cc25c4	CREATE INDEX "IDX_1d11050a381548c42c32cc25c4" ON public.user_favorites USING btree ("resourceType", "resourceId")
public	user_favorites	IDX_1dd5c393ad0517be3c31a7af83	CREATE INDEX "IDX_1dd5c393ad0517be3c31a7af83" ON public.user_favorites USING btree ("userId")
public	user_favorites	PK_6c472a19a7423cfbbf6b7c75939	CREATE UNIQUE INDEX "PK_6c472a19a7423cfbbf6b7c75939" ON public.user_favorites USING btree (id)
public	user_favorites	UQ_cf6ae658ead9ffc124723413c65	CREATE UNIQUE INDEX "UQ_cf6ae658ead9ffc124723413c65" ON public.user_favorites USING btree ("userId", "resourceId", "resourceType")
public	variables	variables_global_key_unique	CREATE UNIQUE INDEX variables_global_key_unique ON public.variables USING btree (key) WHERE ("projectId" IS NULL)
public	variables	variables_pkey	CREATE UNIQUE INDEX variables_pkey ON public.variables USING btree (id)
public	variables	variables_project_key_unique	CREATE UNIQUE INDEX variables_project_key_unique ON public.variables USING btree ("projectId", key) WHERE ("projectId" IS NOT NULL)
public	webhook_entity	PK_b21ace2e13596ccd87dc9bf4ea6	CREATE UNIQUE INDEX "PK_b21ace2e13596ccd87dc9bf4ea6" ON public.webhook_entity USING btree ("webhookPath", method)
public	webhook_entity	idx_16f4436789e804e3e1c9eeb240	CREATE INDEX idx_16f4436789e804e3e1c9eeb240 ON public.webhook_entity USING btree ("webhookId", method, "pathLength")
public	workflow_builder_session	PK_e69ef0d385986e273423b0e8695	CREATE UNIQUE INDEX "PK_e69ef0d385986e273423b0e8695" ON public.workflow_builder_session USING btree (id)
public	workflow_builder_session	UQ_ec2aa73632932d485a1d5192ce1	CREATE UNIQUE INDEX "UQ_ec2aa73632932d485a1d5192ce1" ON public.workflow_builder_session USING btree ("workflowId", "userId")
public	workflow_dependency	IDX_a4ff2d9b9628ea988fa9e7d0bf	CREATE INDEX "IDX_a4ff2d9b9628ea988fa9e7d0bf" ON public.workflow_dependency USING btree ("workflowId")
public	workflow_dependency	IDX_e48a201071ab85d9d09119d640	CREATE INDEX "IDX_e48a201071ab85d9d09119d640" ON public.workflow_dependency USING btree ("dependencyKey")
public	workflow_dependency	IDX_e7fe1cfda990c14a445937d0b9	CREATE INDEX "IDX_e7fe1cfda990c14a445937d0b9" ON public.workflow_dependency USING btree ("dependencyType")
public	workflow_dependency	IDX_workflow_dependency_publishedVersionId	CREATE INDEX "IDX_workflow_dependency_publishedVersionId" ON public.workflow_dependency USING btree ("publishedVersionId")
public	workflow_dependency	PK_52325e34cd7a2f0f67b0f3cad65	CREATE UNIQUE INDEX "PK_52325e34cd7a2f0f67b0f3cad65" ON public.workflow_dependency USING btree (id)
public	workflow_entity	IDX_workflow_entity_name	CREATE INDEX "IDX_workflow_entity_name" ON public.workflow_entity USING btree (name)
public	workflow_entity	IDX_workflow_entity_sourceWorkflowId	CREATE INDEX "IDX_workflow_entity_sourceWorkflowId" ON public.workflow_entity USING btree ("sourceWorkflowId") WHERE ("sourceWorkflowId" IS NOT NULL)
public	workflow_entity	pk_workflow_entity_id	CREATE UNIQUE INDEX pk_workflow_entity_id ON public.workflow_entity USING btree (id)
public	workflow_entity	workflow_entity_pkey	CREATE UNIQUE INDEX workflow_entity_pkey ON public.workflow_entity USING btree (id)
public	workflow_history	IDX_1e31657f5fe46816c34be7c1b4	CREATE INDEX "IDX_1e31657f5fe46816c34be7c1b4" ON public.workflow_history USING btree ("workflowId")
public	workflow_history	PK_b6572dd6173e4cd06fe79937b58	CREATE UNIQUE INDEX "PK_b6572dd6173e4cd06fe79937b58" ON public.workflow_history USING btree ("versionId")
public	workflow_publication_outbox	IDX_workflow_publication_outbox_pending_workflow	CREATE UNIQUE INDEX "IDX_workflow_publication_outbox_pending_workflow" ON public.workflow_publication_outbox USING btree ("workflowId") WHERE ((status)::text = 'pending'::text)
public	workflow_publication_outbox	PK_b3e2eeee36a4bd044d56468d311	CREATE UNIQUE INDEX "PK_b3e2eeee36a4bd044d56468d311" ON public.workflow_publication_outbox USING btree (id)
public	workflow_publish_history	IDX_070b5de842ece9ccdda0d9738b	CREATE INDEX "IDX_070b5de842ece9ccdda0d9738b" ON public.workflow_publish_history USING btree ("workflowId", "versionId")
public	workflow_publish_history	PK_c788f7caf88e91e365c97d6d04a	CREATE UNIQUE INDEX "PK_c788f7caf88e91e365c97d6d04a" ON public.workflow_publish_history USING btree (id)
public	workflow_published_version	PK_5c76fb7ee939fe2530374d3f75a	CREATE UNIQUE INDEX "PK_5c76fb7ee939fe2530374d3f75a" ON public.workflow_published_version USING btree ("workflowId")
public	workflow_statistics	IDX_workflow_statistics_workflow_name	CREATE UNIQUE INDEX "IDX_workflow_statistics_workflow_name" ON public.workflow_statistics USING btree ("workflowId", name)
public	workflow_statistics	workflow_statistics_pkey	CREATE UNIQUE INDEX workflow_statistics_pkey ON public.workflow_statistics USING btree (id)
public	workflows_tags	idx_workflows_tags_workflow_id	CREATE INDEX idx_workflows_tags_workflow_id ON public.workflows_tags USING btree ("workflowId")
public	workflows_tags	pk_workflows_tags	CREATE UNIQUE INDEX pk_workflows_tags ON public.workflows_tags USING btree ("workflowId", "tagId")
(261 rows)
