table_schema	table_name	ordinal_position	column_name	data_type	udt_name	is_nullable	column_default
public	agents_memory_entries	11	lastSeenAt	timestamp with time zone	timestamptz	NO	
public	agents_memory_entries	12	createdAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	agents_memory_entries	13	updatedAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	agents_memory_entry_cursors	1	agentId	character varying	varchar	NO	
public	agents_memory_entry_cursors	2	observationScopeId	character varying	varchar	NO	
public	agents_memory_entry_cursors	3	lastIndexedObservationId	character varying	varchar	NO	
public	agents_memory_entry_cursors	4	lastIndexedObservationCreatedAt	timestamp with time zone	timestamptz	NO	
public	agents_memory_entry_cursors	5	createdAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	agents_memory_entry_cursors	6	updatedAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	agents_memory_entry_locks	1	agentId	character varying	varchar	NO	
public	agents_memory_entry_locks	2	resourceId	character varying	varchar	NO	
public	agents_memory_entry_locks	3	holderId	character varying	varchar	NO	
public	agents_memory_entry_locks	4	heldUntil	timestamp with time zone	timestamptz	NO	
public	agents_memory_entry_locks	5	createdAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	agents_memory_entry_locks	6	updatedAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	agents_memory_entry_sources	1	id	character varying	varchar	NO	
public	agents_memory_entry_sources	2	agentId	character varying	varchar	NO	
public	agents_memory_entry_sources	3	memoryEntryId	character varying	varchar	NO	
public	agents_memory_entry_sources	4	observationId	character varying	varchar	NO	
public	agents_memory_entry_sources	5	threadId	character varying	varchar	NO	
public	agents_memory_entry_sources	6	evidenceHash	character varying	varchar	NO	
public	agents_memory_entry_sources	7	evidenceText	text	text	NO	
public	agents_memory_entry_sources	8	createdAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	agents_memory_entry_sources	9	updatedAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	agents_messages	1	id	character varying	varchar	NO	
public	agents_messages	2	threadId	character varying	varchar	NO	
public	agents_messages	3	resourceId	character varying	varchar	NO	
public	agents_messages	4	role	character varying	varchar	NO	
public	agents_messages	5	type	character varying	varchar	YES	
public	agents_messages	6	content	json	json	NO	
public	agents_messages	7	createdAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	agents_messages	8	updatedAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	agents_observation_cursors	1	agentId	character varying	varchar	NO	
public	agents_observation_cursors	2	observationScopeId	character varying	varchar	NO	
public	agents_observation_cursors	3	lastObservedMessageId	character varying	varchar	NO	
public	agents_observation_cursors	4	lastObservedAt	timestamp with time zone	timestamptz	NO	
public	agents_observation_cursors	5	createdAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	agents_observation_cursors	6	updatedAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	agents_observation_locks	1	agentId	character varying	varchar	NO	
public	agents_observation_locks	2	observationScopeId	character varying	varchar	NO	
public	agents_observation_locks	3	taskKind	character varying	varchar	NO	
public	agents_observation_locks	4	holderId	character varying	varchar	NO	
public	agents_observation_locks	5	heldUntil	timestamp with time zone	timestamptz	NO	
public	agents_observation_locks	6	createdAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	agents_observation_locks	7	updatedAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	agents_observations	1	id	character varying	varchar	NO	
public	agents_observations	2	agentId	character varying	varchar	NO	
public	agents_observations	3	observationScopeId	character varying	varchar	NO	
public	agents_observations	4	marker	character varying	varchar	NO	
public	agents_observations	5	text	text	text	NO	
public	agents_observations	6	parentId	character varying	varchar	YES	
public	agents_observations	7	tokenCount	integer	int4	NO	0
public	agents_observations	8	status	character varying	varchar	NO	
public	agents_observations	9	supersededBy	character varying	varchar	YES	
public	agents_observations	10	createdAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	agents_observations	11	updatedAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	agents_resources	1	id	character varying	varchar	NO	
public	agents_resources	2	metadata	text	text	YES	
public	agents_resources	3	createdAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	agents_resources	4	updatedAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	agents_threads	1	id	character varying	varchar	NO	
public	agents_threads	2	resourceId	character varying	varchar	NO	
public	agents_threads	3	title	character varying	varchar	YES	
public	agents_threads	4	metadata	text	text	YES	
public	agents_threads	5	createdAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	agents_threads	6	updatedAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	ai_builder_temporary_workflow	1	workflowId	character varying	varchar	NO	
public	ai_builder_temporary_workflow	2	threadId	uuid	uuid	NO	
