workflow_name	workflow_id	active	node_count	file
reservation_inbound	7xWvQc8GeOTrFvEf	false	16	7xWvQc8GeOTrFvEf.json
event_broadcast	I2FIJPQabYh7s07a	false	9	I2FIJPQabYh7s07a.json
reservation_reminder	JBZj3dZat2nV2vRN	false	8	JBZj3dZat2nV2vRN.json
reservation_inbound	UgthKUfZdXW385HG	true	44	UgthKUfZdXW385HG.json
event_broadcast	YGHj5Kny4lGNOuHu	false	9	YGHj5Kny4lGNOuHu.json
reservation_multichannel_router_little_africa_v2	dYtFF0apybudqTiT	true	33	dYtFF0apybudqTiT.json
Reservation AI Router v1	em0MFIptvPR24bEx	false	15	em0MFIptvPR24bEx.json
reservation_reminder	j0TdjfnbJwSIf0TF	false	8	j0TdjfnbJwSIf0TF.json
